Land	Kabinett	Amtszeit-Jahr	Amtszeit-Datum	Beteiligte Parteien	Ministerpräsident
sachsen-anhalt	Kabinett Böhmer I	2002–2006		CDU, FDP	Wolfgang Böhmer (CDU)
sachsen-anhalt	Kabinett Böhmer II	2006–2011		CDU, SPD	Wolfgang Böhmer (CDU)
sachsen-anhalt	Kabinett Haseloff I	2011–2016		CDU, SPD	Reiner Haseloff (CDU)
sachsen-anhalt	Kabinett Haseloff II	2016-		CDU, SPD, Bündnis 90/Die Grünen	Reiner Haseloff (CDU)
thueringen	Kabinett Duchac	1990-1992	08.11.1990-05.02.1992	CDU, FDP	Josef Duchac
thueringen	Kabinett Vogel I	1992-1994	05.02.1992-30.11.1994	CDU, FDP	Bernhard Vogel 
thueringen	Kabinett Vogel II	1994-1999	30.11.1994-01.10.1999	CDU, SPD	Bernhard Vogel 
thueringen	Kabinett Vogel III	1999-2003	01.10.1999-05.06.2003	CDU	Bernhard Vogel 
thueringen	Kabinett Althaus I	2003-2004	05.06.2003-08.07.2004	CDU	Dieter Althaus
thueringen	Kabinett Althaus II	2004-2009	08.07.2004-04.11.2009	CDU	Dieter Althaus
thueringen	Kabinett Lieberknecht	2009-2014	04.11.2009-05.12.2014	CDU, SPD	Christine Lieberknecht
thueringen	Kabinett Ramelow	2014-	05.12.2014-	Linke, SPD, Grüne	Bodo Ramelow
schleswig-holstein	Kabinett Steltzer I	1946-1946		CDU, SPD, KPD	Theodor Steltzer (CDU)
schleswig-holstein	Kabinett Steltzer II	1946–1947		CDU, SPD	Theodor Steltzer (CDU)
schleswig-holstein	Kabinett Lüdemann	1947–1949		SPD	Hermann Lüdemann(SPD)
schleswig-holstein	Kabinett Diekmann	1949–1950		SPD	Bruno Diekmann (SPD)
schleswig-holstein	Kabinett Bartram	1950–1951		CDU, BHE, DP, FDP	Walter Bartram (CDU)
schleswig-holstein	Kabinett Lübke I (vorläufig)[1]	1951-1951		CDU, FDP	Friedrich Wilhelm Lübke(CDU)
schleswig-holstein	Kabinett Lübke II	1951–1954		CDU, BHE, DP (bis Januar 1953), FDP	Friedrich Wilhelm Lübke(CDU)
schleswig-holstein	Kabinett von Hassel I	1954–1958		CDU, GB/BHE, FDP	Kai-Uwe von Hassel(CDU)
schleswig-holstein	Kabinett von Hassel II	1958–1963		CDU, GB/BHE (bis Oktober 1959), FDP (bis Oktober 1962)	Kai-Uwe von Hassel(CDU)
schleswig-holstein	Kabinett Lemke I	1963–1967		CDU, FDP	Helmut Lemke (CDU)
schleswig-holstein	Kabinett Lemke II	1967–1971		CDU, FDP (bis Februar 1971)	Helmut Lemke (CDU)
schleswig-holstein	Kabinett Stoltenberg I	1971–1975		CDU	Gerhard Stoltenberg(CDU)
schleswig-holstein	Kabinett Stoltenberg II	1975–1979		CDU	Gerhard Stoltenberg(CDU)
schleswig-holstein	Kabinett Stoltenberg III	1979–1982		CDU	Gerhard Stoltenberg(CDU)
schleswig-holstein	Kabinett Barschel I	1982–1983		CDU	Uwe Barschel (CDU)
schleswig-holstein	Kabinett Barschel II	1983–1987		CDU	Uwe Barschel (CDU)
schleswig-holstein	Kabinett Schwarz(geschäftsführend)[3]	1987–1988		CDU	-
schleswig-holstein	Kabinett Engholm I	1988–1992		SPD	Björn Engholm (SPD)
schleswig-holstein	Kabinett Engholm II	1992–1993		SPD	Björn Engholm (SPD)
schleswig-holstein	Kabinett Simonis I	1993–1996		SPD	Heide Simonis (SPD)
schleswig-holstein	Kabinett Simonis II	1996–2000		SPD, Bündnis 90/Die Grünen	Heide Simonis (SPD)
schleswig-holstein	Kabinett Simonis III	2000–2005		SPD, Bündnis 90/Die Grünen	Heide Simonis (SPD)
